Wavelength(nm) Qext
3.500000000000000000e+02 2.675399999999999778e+00
3.633000000000000114e+02 2.660099999999999909e+00
3.765000000000000000e+02 2.654199999999999893e+00
3.897999999999999545e+02 2.647800000000000153e+00
4.031000000000000227e+02 2.634199999999999875e+00
4.163000000000000114e+02 2.613399999999999945e+00
4.295999999999999659e+02 2.585199999999999942e+00
4.429000000000000341e+02 2.543000000000000149e+00
4.561000000000000227e+02 2.490099999999999980e+00
4.693999999999999773e+02 2.431200000000000028e+00
4.827000000000000455e+02 2.374099999999999877e+00
4.959000000000000341e+02 2.365499999999999936e+00
5.091999999999999886e+02 2.421400000000000219e+00
5.223999999999999773e+02 2.428500000000000103e+00
5.356999999999999318e+02 2.364799999999999791e+00
5.490000000000000000e+02 2.294500000000000206e+00
5.622000000000000455e+02 2.254999999999999893e+00
5.755000000000000000e+02 2.269200000000000106e+00
5.887999999999999545e+02 2.345200000000000173e+00
6.020000000000000000e+02 2.480199999999999960e+00
6.152999999999999545e+02 2.683600000000000207e+00
6.286000000000000227e+02 2.930899999999999839e+00
6.418000000000000682e+02 3.165299999999999780e+00
6.551000000000000227e+02 3.387000000000000011e+00
6.683999999999999773e+02 3.623899999999999899e+00
6.816000000000000227e+02 3.753600000000000048e+00
6.948999999999999773e+02 3.758599999999999941e+00
7.082000000000000455e+02 3.842200000000000060e+00
7.214000000000000909e+02 4.003499999999999837e+00
7.347000000000000455e+02 4.132100000000000328e+00
7.480000000000000000e+02 4.349800000000000111e+00
7.611999999999999318e+02 4.789600000000000080e+00
7.745000000000000000e+02 5.236900000000000333e+00
7.877999999999999545e+02 5.621900000000000119e+00
8.010000000000000000e+02 6.274700000000000166e+00
8.143000000000000682e+02 7.219599999999999795e+00
8.276000000000000227e+02 8.255800000000000693e+00
8.407999999999999545e+02 9.117200000000000415e+00
8.541000000000000227e+02 9.677899999999999281e+00
8.672999999999999545e+02 1.009099999999999930e+01
8.806000000000000227e+02 1.043099999999999916e+01
8.938999999999999773e+02 1.045400000000000063e+01
9.071000000000000227e+02 1.009299999999999997e+01
9.203999999999999773e+02 9.436299999999999244e+00
9.336999999999999318e+02 8.548299999999999343e+00
9.468999999999999773e+02 7.587299999999999933e+00
9.602000000000000455e+02 6.660000000000000142e+00
9.735000000000000000e+02 5.821699999999999875e+00
9.867000000000000455e+02 5.096400000000000041e+00
1.000000000000000000e+03 4.465399999999999814e+00
