Wavelength(nm) Qext
3.500000000000000000e+02 2.636600000000000055e+00
3.633000000000000114e+02 2.622500000000000053e+00
3.765000000000000000e+02 2.617900000000000116e+00
3.897999999999999545e+02 2.609900000000000109e+00
4.031000000000000227e+02 2.593199999999999950e+00
4.163000000000000114e+02 2.568999999999999950e+00
4.295999999999999659e+02 2.536999999999999922e+00
4.429000000000000341e+02 2.494499999999999940e+00
4.561000000000000227e+02 2.441600000000000215e+00
4.693999999999999773e+02 2.384999999999999787e+00
4.827000000000000455e+02 2.341299999999999937e+00
4.959000000000000341e+02 2.355500000000000149e+00
5.091999999999999886e+02 2.443999999999999950e+00
5.223999999999999773e+02 2.469599999999999795e+00
5.356999999999999318e+02 2.391799999999999926e+00
5.490000000000000000e+02 2.290700000000000180e+00
5.622000000000000455e+02 2.218999999999999861e+00
5.755000000000000000e+02 2.207300000000000040e+00
5.887999999999999545e+02 2.279999999999999805e+00
6.020000000000000000e+02 2.419999999999999929e+00
6.152999999999999545e+02 2.587200000000000166e+00
6.286000000000000227e+02 2.755700000000000038e+00
6.418000000000000682e+02 2.962499999999999911e+00
6.551000000000000227e+02 3.231799999999999784e+00
6.683999999999999773e+02 3.389600000000000168e+00
6.816000000000000227e+02 3.460599999999999898e+00
6.948999999999999773e+02 3.482400000000000162e+00
7.082000000000000455e+02 3.562600000000000211e+00
7.214000000000000909e+02 3.714199999999999946e+00
7.347000000000000455e+02 3.990099999999999980e+00
7.480000000000000000e+02 4.362899999999999778e+00
7.611999999999999318e+02 4.776099999999999568e+00
7.745000000000000000e+02 5.323699999999999655e+00
7.877999999999999545e+02 6.066900000000000404e+00
8.010000000000000000e+02 6.941699999999999982e+00
8.143000000000000682e+02 7.870400000000000063e+00
8.276000000000000227e+02 8.798999999999999488e+00
8.407999999999999545e+02 9.409900000000000375e+00
8.541000000000000227e+02 9.377100000000000435e+00
8.672999999999999545e+02 8.816499999999999559e+00
8.806000000000000227e+02 8.030200000000000671e+00
8.938999999999999773e+02 7.123800000000000132e+00
9.071000000000000227e+02 6.208499999999999908e+00
9.203999999999999773e+02 5.383799999999999919e+00
9.336999999999999318e+02 4.682199999999999918e+00
9.468999999999999773e+02 4.073599999999999888e+00
9.602000000000000455e+02 3.535099999999999909e+00
9.735000000000000000e+02 3.076999999999999957e+00
9.867000000000000455e+02 2.701700000000000212e+00
1.000000000000000000e+03 2.388199999999999878e+00
